utterance_order,transcription,start_time,end_time,debater
18,"Talvez... Talvez seja mais por qual a porcentagem de pessoas que vai estar controlando isso. Porque esse 1% que controla a rede, quando eu digo a rede, tipo redes sociais, que querendo não são gerenciadas pela IA, ahm, o que essas pessoas querem? Porque o que elas transmitem não afetam o nosso mundo, em si, a pessoa poderia dar, eu poderia dar um exemplo, ahm, de um, de um homem que para difamar outros políticos, ele usa um método de entrar em grupos com 3 contas. Uma, ele joga uma fake news, uma fake news, finge que é uma, uma senhora inocente, outro ele usa para xingar essa pessoa, e a terceira, ele joga mais argumentos falsos para credibilizar a primeira. Com isso, ocorre a famosa Maria vai com as outras, todo mundo vai pelo lado que acha mais fraco. Porém, assim, coisas como racismo ou homofobia não podem ser aceitos em uma sociedade, porque são coisas que afetam os outros, querendo ou não. Mesmos, mesmo que seja velada. OPA, tentando, tentando complementar um pouco da fala da da do número 3.",1006,1101,DEBATER2
19,"É, opa, tentando, tentando complementar um pouco da fala do debatedor número 3, é, da forma que ele descreveu, eu acho que você poderia culpar toda a sociedade, todos esses agentes que estão escritos na lei, porque o que a gente observa na IA é um, é um fenômeno sobretudo à humanidade. Não dá pra tentar achar um culpado único sobre, sobre ela. É, a IA, hoje em dia ela está num momento muito embrionário, a gente ainda tem capacidade de, por meio de regulações, dar uma parada nela para tentar sanar com todas essas dúvidas que a pessoa tem sobre esse metodo tecnológico. Só que... É... Justamente por causa disso, eu acho que... No fim, com a invenção do Chat GPT, que ele utiliza dessa base de dados para compor o que ele é, se a gente tivesse cada um desses elementos, por exemplo, o desenvolvedor construindo códigos mais éticos, ou a sociedade colocando os valores éticos e morais que prezem em prol da sociedade, em cima da, dentro desse banco de dados. Se a gente utilizar desse ambiente, a gente é capaz de formar uma IA que vai agir em b, pelo bem de todos, e igualmente, isso aconteceria no oposto, que é agir de uma forma prejudicial ou ofensiva, é, para a gente. Agora, outra coisa que eu tinha pensado, é que se ele está considerando aí uma IA capaz de agir totalmente por si, que seria o conceito de IA generativa, a gente está falando de um ser vivo, ou estaria tentando compreender ela como computador que faz aquilo que o usuário deseja e nada mais. Porque desse modo, você poderia de certa forma também culpar a IA, apesar de que tudo isso tinha ciência, seja culpa da humanidade por agir apenas em pró dos seus interesses. Eu acho que eu sintetizaria minha fala dizendo a tecnlogia, a IA, não é o problema de todo esse caos que está acontecendo. O problema é a própria humanidade. Dependendo de como ela vai utilizar essa ferramenta, é que a gente vai ser capaz de perceber o rumo que ela mandar vai tomar.",1106,1245,DEBATER4
20,Alguém mais gostaria de fazer algum comentário?,1246,1248,MODERATOR
21,"Mas a questão da, da malícia do ser humano, eu vi, eu vi na internet, né? Meios de pedir certas coisas para o Chat GPT, como... Como... Não que eu vá fazer isso, né, como produtos químicos, como, como bombas, bombas, alucinógicos, para conseguir chaves de certas coisas, como do próprio Windows, meios de burlar, ah, o que o programador pensa, que pode bloquear a certo assunto. Porém, a pessoa usa outro meio, tipo, ahm, a minha mãe fazia uma receita, e esta receita é de sei lá, crack. A IA não tem a malícia de entender que isso não é uma coisa certa, como para a gente. Mas isso também abre outro problema, porque se a gente limita, a gente limita o acesso ao conhecimento. E aí eu concordo muito com o que você falou, debatedor número 2, e aí que eu acho que entra o, o papel do desenvolvedor, do desenvolvedor. Por que que uma IA, feita para conversar com o público, tinha essas informações no primeiro momento? O que que uma IA feita para conversar do público, feita para pesquisas, tudo bem, até certo ponto, a gente entende, mas é preciso também saber o nicho e o foco daquela IA, sabe? Se a gente abre ela para a conversa geral, pô, se eu tenho uma IA que ela é, é feita para pesquisas de, de nível superior académico na área de sistemas de computação, faz sentido que ela tenha a informação do, da chave do Windows. Se eu tenho uma IA que ela é para o nicho de pesquisas acadêmicas no, na, perdão, no, na área de química, faz sentido que ela tenha fórmula para todo tipo de, de droga e coisa. Mas uma IA de conversação geral? Sabe, de pesquisa geral. Mas isso também abre outro programa, porque se a gente limita, a gente limita o acesso ao conhecimento. Se faz o que eu acabei de falar, eu falo tudo bem, então as pessoas não vão ter acesso à informação, eu vou bloquear. Pois fechem bibliotecas, pois fechem livrarias, porque lá tem essas informações. E aí eu... Tudo bem, então se eu quero aprender sobre química sozinho, eu não posso, porque eu não estou no ambiente acadêmico. Que segregação do conhecimento é essa? Percebem que é um problema muito complicado? Muito. Muito, muito, muito, complexo.",1250,1322,DEBATER2
22,"E aí eu concordo muito com o que você falou, debatedor número 2, e aí que eu acho que entra o, o papel do desenvolvedor, do desenvolvedor. Por que que uma IA, feita para conversar com o público, tinha essas informações no primeiro momento? O que que uma IA feita para conversar do público, feita para pesquisas, tudo bem, até certo ponto, a gente entende, mas é preciso também saber o nicho e o foco daquela IA, sabe? Se a gente abre ela para a conversa geral, pô, se eu tenho uma IA que ela é, é feita para pesquisas de, de nível superior académico na área de sistemas de computação, faz sentido que ela tenha a informação do, da chave do Windows. Se eu tenho uma IA que ela é para o nicho de pesquisas acadêmicas no, na, perdão, no, na área de química, faz sentido que ela tenha fórmula para todo tipo de, de droga e coisa. Mas uma IA de conversação geral? Sabe, de pesquisa geral. Mas isso também abre outro programa, porque se a gente limita, a gente limita o acesso ao conhecimento. Se faz o que eu acabei de falar, eu falo tudo bem, então as pessoas não vão ter acesso à informação, eu vou bloquear. Pois fechem bibliotecas, pois fechem livrarias, porque lá tem essas informações. E aí eu... Tudo bem, então se eu quero aprender sobre química sozinho, eu não posso, porque eu não estou no ambiente acadêmico. Que segregação do conhecimento é essa? Percebem que é um problema muito complicado? Muito.",1324,1425,DEBATER3
23,Debatedor número 1?,1426,1427,MODERATOR
24,"É... Para o desenvolvedor, ele testar cada limite de sair é uma dor de cabeça que eu imagino que deve ser gigante, porque isso vai no estudo da semântica de linguagem natural. E a gente não entende isso tão avançadamente. A gente tem anos e anos aí, é, estudando semântica, das línguas, mas a gente não tem como, sabe, transformar isso em código muito efetivo para tipo barrar alguém ter acesso à informação que não era para ter, tipo o exemplo do... Do, do vazamento de chaves do Windows. O cara usou ele, o Chat GPT, ele tem a função de tomar para si uma personalidade e, com isso, o cara usou para popular, esse sistema de segurança que usa o Chat GPT vai ser muito pior, eu acho, e conseguiu achar, né, enganando o Chat GPT, assim, enganando, entre aspas, o Chat GPT. É complexo.",1428,1508,DEBATER1
25,"Alguém mais tem algo a comentar sobre alguma das respostas que foram dadas? Não? Então passemos a segunda questão, então, para o debatedor número 2. IAS generativas podem ser usadas nos processos educacionais, por exemplo, em aulas, atividades ou provas? O ou a aluno ou a aluna deve reportar ao professor ou professora sobre o uso de IAs generativas em suas atividades?",1509,1533,MODERATOR
26,"Olha... eu... Eu acho que assim, se você usa as IAs generativas para ser meios de, assim, não tá, não sei resolver tal questão deste exercício. Vou pegar este exemplo e não aplicar, tentar entendê-lo. Como ela gerou esta resposta? Como já aconteceu aqui em CC, né, que fazia, fazia, ah, vacilando em P1, não é correto, porque assim você não está pegando uma resposta que foi criada por você, porque nós aqui estamos tentando nos desenvolver como pensadores para criar as coisas, mas a gente já pegar algo já pronto e só transcrever, ou só copiar e colar. A gente não está fazendo nada, não está progredindo, continua estagnada no mesmo lugar. E o ato de denunciar ou cochichar Ao professor, às vezes é bom, às vezes não, depende.",1534,1621,DEBATER2
27,Alguém tem algo a comentar sobre a fala do debatedor número 2? Número 1.,1624,1628,MODERATOR
28,"É, eu acho que ele deve ser usado no processo educacional, sim, porque ele democratiza muito o acesso ao conhecimento. E no exemplo que o debatedor 2 deu, que uma pessoa de CC usou o Chat GPT, essa pessoa, se não existisse o Chat GPT, ela ia procurar no Stack Overflow ou alguma coisa do tipo para poder ter essa resposta, então... A pessoa que foi tendenciosa, entendeu? Porque... a informação está na internet, ele tinha acesso à internet, tinha acesso ao Chat GPT, se não tivesse Chat GPT, ele ia procurar em algum outro canto que tivesse.",1629,1674,DEBATER1
29,Debatedor número 3.,1678,1680,MODERATOR
30,"É, eu creio que deve sim, com certeza, ser usado aulas, atividades, provas, tudo isso vem da visão do, da da inteligência artificial como uma ferramenta. Ora, se nós podermos usar essa ferramenta, essa ou qualquer ferramenta, para diminuir a quantidade de trabalho manual e repetitivo, aquele trabalho que exige, a pena, é, apenas não, mas existe, exige menos, é, de capacidade criativa, e de realmente raciocínio, porque nós devemos parar de usar isso? Devemos, então, abolir a calculadora. A gente tem que acabar com fórmula, de, de função, fórmulas matemáticas. Ah, você quer calcular a hipotermia usando o triângulo? Se vira, não pode usar teorema de Pitágoras, não, porque isso é uma ferramenta. Claro que não, eu não preciso mais realizar esse processo que Pitágoras teve que passar, de observação, de estudo para poder chegar aquilo, eu posso simplesmente usar a ferramenta que foi criada. E não há sobre mim nenhum peso de que, de tentar ou de precisar entender, necessariamente, em todos os casos, o porquê que aquilo é assim. Sabe, eu, eu posso usar um, um martelo sem ter força no braço para poder bater naquilo que eu precisava. Por quê? Porque eu tenho a ferramenta, eu tenho acesso àquilo, eu posso usar aquilo como uma ferramenta. E as ferramentas servem justamente, imagina, para calcular, as ferramentas servem justamente para nos ajudar a realizar funções que de outra maneira seriam muito mais difíceis. Eu posso dedicar muito mais tempo e raciocínio para aquilo que realmente me fazem empurrar os limites. Sabe, a gente não conseguiria construir casas e empreendimentos e todo tipo de construção tão complicado se a gente tivesse que se preocupar em colocar apenas pregos, que nós poderíamos empurrar com a mão. Já que a gente agora tem uma ferramenta que faz isso, vamos usar isso e avançar, sabe, e, e, quebrar as barreiras de de do que a gente pode fazer com aquilo. Então, eu acho que na educação ele era muito como ela, como já é usado ferramentas como o Google, como Stack Overflow, no nosso caso de, de programadores. Então assim, tudo isso, o Google no início também, bom, eu não estava vivo na época, mas eu creio que foi algo: ""Meu Deus do céu, agora estão usando o Google nas escolas, e agora nossos alunos, vão ficar burros"". Não, não, isso não aconteceu. A gente aprendeu a usar aquilo como ferramenta, como facilitador, como catalisador, como algo que nos ajuda a avançar e tira o trabalho, o trabalho manual, e o trabalho que apenas nos, no segura. Então, sim, em atividades, em provas, contanto que a gente aprenda a usar aquilo, a gente aprenda a usar aquilo como um, um chão que a gente pisa para ir mais longe. E não como o fim, não como aquilo que vai, ah, vai fazer o que eu faço, então eu vou simplesmente usar ele e conseguir minha resposta e parar por aqui. Não, poxa. Escolas, por exemplo, é, eu pensava muito nisso quando eu estava na escola, porque eu odiava fazer cálculo chato. Mas eu falava, pô, eu não poderia aprender muito mais se eu simplesmente pudesse usar uma calculadora? Eu não poderia focar muito mais em entender a proporção, entender a, a geometria, entender a filosofia da coisa, se eu pudesse ter menos material, menos partes do livro, menos tempo de aula, me ensinando a fazer as contas de mão. Será que as pessoas não seriam os alunos não seriam muito mais estimulados a aprender e a desenvolver o raciocínio lógico? E isso é bem paradoxal, porque o mercado de trabalho te, te exige aquele raciocínio lógico que você não teve, porque a escola e a academia te segurou a aprender a fazer na mão. Então, existe esse gap muito grande que tem, tem que ser revisto também, pelo pelo debate levou, é, mas, pô, cara, será que eu não, Os alunos não poderiam alcançar níveis de conhecimento, de entendimento, raciocínio lógico muito maior, se a gente ficasse menos tempo fazendo as coisas na mão, só batendo a cabeça na parede para descobrir como fazer aquilo, ou só ter o raciocínio por trás. Acho que seria muito mais, mais fácil, seria muito proveitoso usar todos os processos educacionais.",1682,1960,DEBATER3
31,Alguém tem algo mais a comentar? Debatedor número 2.,1962,1965,MODERATOR
32,"Ahm, juntou o número? O 3 juntou... Do que adianta a gente, hum, assim, a gente ter as ferramentas e não usá-las? Ahm... Assim... Ahm... Assim, tipo, para não ficar estagnado, porque há um déficit, né, na própria educação, não só, em todo lugar, há um déficit na educação em que, meio que só quem que o aluno olhe para a frente, não abra, não abra o seu campo de de visão. E com isso, ahm, você não pode desenvolver mais, ou entender o que está acontecendo. Você fica mais naquelas fórmulas, fórmulas, fórmulas. Isso, isso, isso não vê o todo, então, com ajuda das IAs, do que adianta você tê-las e não saber utilizá-las? Porque uma coisa que, ultimamente, está tendo bastante é o uso das IAs nas imagens de Photoshop. Do que adianta você saber, pensar que sabe mexer, uma IA pra lhe auxiliar numa fotografia, se você não sabe todas as ferramentas que ela pode utilizar nesse contexto. Isso também pode se aplicar aos estudos. Do que adianta, ah, eu quero tal coisa, mas eu não saber o processo de chegar até lá, que muitos, alguns professores exigem um processo, não tem como só dar só o final. Tem que ter um entendimento.",1966,2103,DEBATER2
33,"Alguém tem alguém a comentar sobre alguma das respostas dadas, ou sobre a pergunta?",2104,2107,MODERATOR
34,"Só para, só para dar um exemplo sobre o que o pessoal discutiu aqui, porque eu concordo plenamente que observando na como uma ferramenta o que, o que se resta agora é só saber como utilizar ela para a educação, até porquê cada pessoa tem uma forma diferente de aprender. Então, se a gente considerar o, o caso do colégio, tinha certos professores que eu sentia dificuldade de entender pelo modo que eles explicavam, e por essa ferramenta eu conseguia, da maneira ideal, aprender de uma forma produtiva. Um exemplo disso foi que eu tinha certa dificuldade nas aulas de economia, e uma coisa que me fez entender certos conceitos foi pesquisar. Eu, eu pedi ao GPT para ele me dar analogia sobre aquilo, para eu, para eu ter mais uma visão sobre aquele assunto, alguma nova perspectiva para dar esse refresh na cabeça e conseguir compreender aquilo.",2109,2160,DEBATER4
35,Debatedor 3.,2161,2162,MODERATOR
36,"Concordo perfeitamente, como disse o debatedor 4, é, muito se teme a maneira como a IA vai substituir trabalhos, mas pouco se debate como a gente pode alinhar isso. Em momento algum o professor de economia foi substituído por ele ter buscado exemplos. E o ensinamento, conhecimento, e o quão, é, bem essa informação e esse conhecimento era passadao pelo professor, foi apenas melhorado com o uso da IA como uma ferramenta. Como um portador Terra, vejo bastante esse salário de dificuldades na faculdade, porque assim, muitas vezes os professores só têm essa visão e como portador de Terra não consigo ter.",2162,2193,DEBATER3
37,Debatedor número 2.,2196,2198,MODERATOR
38,"Como um portador de TEA, vejo bastante essa dificuldade na faculdade, porque assim, muitas vezes os professores só têm essa visão e como portador de TEA eu não consigo ter essa visão. Acabo recorrendo ao Chat GPT, uma forma de explicação melhor, um auxílio, uma maneira mais fácil de adentrar a própria introdução na graduação.",2198,2236,DEBATER2
39,"Alguém tem algo mais a comentar? Não? Então voltamos à terceira pergunta ao debatedor número 3. De que maneira a propriedade intelectual deve ser tratada quando o conteúdo é gerado por uma IA? Por exemplo: se o usuário gerou uma música usando IAs, o crédito pela criação deve ser deste usuário, da plataforma de IA utilizada, do criador dos dados originais para os quais a IA foi treinada, ou de quem?",2237,2268,MODERATOR
40,"Belíssima pergunta. Eu vou continuar na minha, na minha linha de raciocínio da IA como uma ferramenta. Eu acredito que o violão não faz música. Piano não faz música. Violino não faz música, uma, enfim, um martelo não faz uma casa. É preciso que o usuário nesse caso, nesse caso o usuário da IA, ou IA, seja capaz de usar aquilo de modo a atender suas necessidades. Até porque eu tenho certeza que se qualquer um de nós simplesmente abrir aqui o Chat GPT ou qualquer outra IA e escrever ""faça uma música"", certamente não vai sair algo, que como a gente pensa. Se você der a um músico ou um produtor, pode ser o melhor produtor do mundo, ele simplesmente escrever ""faça uma música"", ele vai ouvir e falar: ""isso aqui está horrível"". Existe uma chance de estar muito bom, mas no geral. Assim como se você pegar um violão e colocar o dedo em locais aleatórios, trocar as cordas, vai sair um som horroroso, vai pegar o piano e bater nele, vai sair um som horroroso. É preciso de técnica para aprender a usar. Acho que o debate grande que existe aí é porque a música ela, é, conheço um tradutor de música, a propriedade intelectual, até na própria música ela é muito debatida, né, porque você só tem uma certa qualidade de notas, então, de que modo rearranjar isso que há, e aí entram muitos fatores. Mas o que eu vejo no debate, que eu acho que talvez seja até mais complicado, é do quesito da arte. Porque na arte você tem uma assinatura. Na arte você tem um estilo. Na arte, e na arte você tem como creditar muito melhor algo a alguém. Na arte que eu digo, eu vou te dizer aqui um design, o desenho, a pintura. Na música também, sim, cada músico segue uma, uma linha. Mas eu acho que isso fica muito mais complexo, sabe? Na, na arte, pô, como é que eu posso falar isso? Na arte com imagens, eu vou dizer imagens pra, tipo, facilitar. Então, a propriedade intelectual é algo que, pô, eu vou ficar repetindo, dizer que estava muito complicado, me perdoe, mas, eu acho aqui a propriedade intelectual deverá ser daquele, do usuário, daquele que ajustou a ferramenta para o seu uso. Entretanto, o debate também, que deve existir é: até que ponto na arte, a dificuldade para se alcançar a obra, contribui para o valor da obra? Porque se eu uso essa, uma ferramenta como a IA, certamente, eu pularei muitas etapas que outras pessoas não utilizando não poderão pular. Até certo modo, será mais fácil. Apesar de que ser muito subjetivo e, dependendo do quão evoluído está essa inteligência artificial, e do quão bem você se comunica, mas até o quão bem você se comunica é mérito do usuário em cima disso, quão bem uma pessoa toca o violão é totalmente mérito do artista, da pessoa que toca, não do instrumento. Mas, respondendo à pergunta, eu acho que a propriedade intelectual deve ser do usuário que conseguiu utilizar essa ferramenta e ajustar... Para o seu gosto. Entretanto, a discussão da dificuldade do, de quanto a banalização quanto o quão fácil se torna atingir aquele valor estético, deprecia o valor da obra, isso. Mas isso é outra discussão.",2269,2519,DEBATER3
41,Debatedor número 2.,2520,2521,MODERATOR
